onset	duration	text	rt	key_press	block_duration	timing_post_trial	trial_id	trial_type	trial_index	time_elapsed	internal_node_id	exp_id	subject_id	trigger_times	triggers	stimulus	possible_responses	stim_duration	exp_stage	SS_stimulus	SS_trial_type	SS_duration	load	trial_num	stop_trial_type	adaptive_trial_type	stim	yes_response_key	no_response_key	SSD_target	SSD_non_target	SSTarget	SSNonTarget	go_acc	SS_delay	stop_acc	adaptive_acc	new_trial_type
test	10880	n/a	-1	-1	10880	0.0	practice-no-stop-feedback	poldrack-single-stim	6	39198	0.0-6.0	beast_fmri_test	269	28317,/,28998,/,29676,/,30357,/,31036,/,31716,/,32396,/,33076,/,33756,/,34436,/,35116,/,35796,/,36476,/,37156,/,37836,/,38516,/	t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t	"<div class = ""centerbox""><p class = ""center-block-text"">Your delay is 2 trials.</p><p class = center-block-text>Please wait for the scanner to start the block</p></div>"	77	10880.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	start_functional_block
11382	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	7	39699	0.0-7.0-0.0	beast_fmri_test	269	39198,/	t	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
10825.016674699997	2750	n/a	1182	71	2750	560.9833253	stim	stop-signal	8	42453	0.0-7.0-1.0	beast_fmri_test	269	39876,/,40557,/,41237,/,41917,/,42597,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	go	-1.0	2.0	0.0	go	temp-non-target	B	89,Yellow Button	71,Green Button	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	go_stim
13575.016674699997	560.98332529999993	n/a	1182	71	2750	560.9833253	stim	stop-signal	8	42453	0.0-7.0-1.0	beast_fmri_test	269	39876,/,40557,/,41237,/,41917,/,42597,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	go	-1.0	2.0	0.0	go	temp-non-target	B	89,Yellow Button	71,Green Button	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	ITI
15201	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	9	43518	0.0-7.1-0.1	beast_fmri_test	269	43277,/	t	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
13475.359620000003	2750	n/a	1445	71	2750	1727.64038	stim	stop-signal	10	46270	0.0-7.1-1.1	beast_fmri_test	269	43957,/,44637,/,45317,/,45997,/,46677,/,47357,/	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	go	-1.0	2.0	1.0	go	temp-non-target	V	89,Yellow Button	71,Green Button	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	go_stim
16225.359620000003	1727.6403800000001	n/a	1445	71	2750	1727.64038	stim	stop-signal	10	46270	0.0-7.1-1.1	beast_fmri_test	269	43957,/,44637,/,45317,/,45997,/,46677,/,47357,/	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	go	-1.0	2.0	1.0	go	temp-non-target	V	89,Yellow Button	71,Green Button	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	ITI
20182	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	11	48499	0.0-7.2-0.2	beast_fmri_test	269	48037,/	t	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
20181.254026353003	500.0	n/a	998	89	2750	3.745973647	stim	stop-signal	12	51252	0.0-7.2-1.2	beast_fmri_test	269	48716,/,49398,/,50077,/,50757,/	t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	stop	2250.0	2.0	2.0	stop	target	B	89,Yellow Button	71,Green Button	500.0	500.0	2250.0	0.0	0.0	500.0	0.0	1.0	go_stim
22431.254026353003	2250.0	n/a	998	89	2750	3.745973647	stim	stop-signal	12	51252	0.0-7.2-1.2	beast_fmri_test	269	48716,/,49398,/,50077,/,50757,/	t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	stop	2250.0	2.0	2.0	stop	target	B	89,Yellow Button	71,Green Button	500.0	500.0	2250.0	0.0	0.0	500.0	0.0	1.0	stop_stim
