onset	duration	text	rt	key_press	block_duration	timing_post_trial	trial_id	trial_type	trial_index	time_elapsed	internal_node_id	exp_id	subject_id	trigger_times	triggers	stimulus	possible_responses	stim_duration	exp_stage	SS_stimulus	SS_trial_type	SS_duration	load	trial_num	stop_trial_type	adaptive_trial_type	stim	yes_response_key	no_response_key	SSD_target	SSD_non_target	SSTarget	SSNonTarget	go_acc	stop_acc	SS_delay	adaptive_acc	Unnamed: 36	new_trial_type
test	10880	n/a	-1	-1	10880	0.0	practice-no-stop-feedback	poldrack-single-stim	6	34004	0.0-6.0	beast_fmri_test	119	23122,/	t	"<div class = ""centerbox""><p class = ""center-block-text"">Your delay is 2 trials.</p><p class = center-block-text>Please wait for the scanner to start the block</p></div>"	77	10880.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	start_functional_block
-1387285494.0	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	7	34506	0.0-7.0-0.0	beast_fmri_test	119	n/a	n/a	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
-1387285783.2935042	temp_go_duration	n/a	-1	-1	2750	294.293504271	stim	stop-signal	8	37261	0.0-7.0-1.0	beast_fmri_test	119	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	stop	-1.0	2.0	0.0	stop	temp-non-target	T	89,Yellow Button	71,Green Button	500.0	500.0	0.0	0.0	0.0	1.0	n/a	n/a	n/a	go_stim
temp-non-target	temp_stop_duration	n/a	-1	-1	2750	294.293504271	stim	stop-signal	8	37261	0.0-7.0-1.0	beast_fmri_test	119	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	stop	-1.0	2.0	0.0	stop	temp-non-target	T	89,Yellow Button	71,Green Button	500.0	500.0	0.0	0.0	0.0	1.0	n/a	n/a	n/a	stop_stim
-1387283033.2935042	294.29350427144198	n/a	-1	-1	2750	294.293504271	stim	stop-signal	8	37261	0.0-7.0-1.0	beast_fmri_test	119	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	stop	-1.0	2.0	0.0	stop	temp-non-target	T	89,Yellow Button	71,Green Button	500.0	500.0	0.0	0.0	0.0	1.0	n/a	n/a	n/a	ITI
-1387281938.0	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	9	38062	0.0-7.1-0.1	beast_fmri_test	119	n/a	n/a	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
-1387282443.1197164	2750	n/a	1391	71	2750	507.119716383	stim	stop-signal	10	40814	0.0-7.1-1.1	beast_fmri_test	119	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	go	-1.0	2.0	1.0	go	temp-non-target	T	89,Yellow Button	71,Green Button	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	n/a	go_stim
-1387279693.1197164	507.11971638296802	n/a	1391	71	2750	507.119716383	stim	stop-signal	10	40814	0.0-7.1-1.1	beast_fmri_test	119	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	go	-1.0	2.0	1.0	go	temp-non-target	T	89,Yellow Button	71,Green Button	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	n/a	ITI
-1387278175.0	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	11	41825	0.0-7.2-0.2	beast_fmri_test	119	n/a	n/a	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
-1387280033.5464637	2750	n/a	595	71	2750	1860.54646377	stim	stop-signal	12	44577	0.0-7.2-1.2	beast_fmri_test	119	n/a	n/a	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	go	2250.0	2.0	2.0	go	target	T	89,Yellow Button	71,Green Button	500.0	500.0	2250.0	0.0	0.0	n/a	500.0	0.0	n/a	go_stim
