onset	duration	"”text"""	rt	key_press	block_duration	timing_post_trial	trial_id	trial_type	trial_index	time_elapsed	internal_node_id	exp_id	subject_id	trigger_times	triggers	stimulus	possible_responses	stim_duration	exp_stage	SS_stimulus	SS_trial_type	SS_duration	load	trial_num	stop_trial_type	adaptive_trial_type	stim	yes_response_key	no_response_key	SSD_target	SSD_non_target	SSTarget	SSNonTarget	go_acc	stop_acc	SS_delay	adaptive_acc	new_trial_type
test	10880.0	n/a	-1	-1	10880	0.0	practice-no-stop-feedback	poldrack-single-stim	196	622235	0.0-12.0	beast_fmri_test	337	611359,/,612037,/,612717,/,613396,/,614075,/,614755,/,615436,/,616115,/,616796,/,617475,/,618155,/,618834,/,619514,/,620194,/,620873,/,621554,/,622233,/	t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t	"<div class = ""centerbox""><p class = ""block-text"">Your delay is 2 trials.</p><p class = block-text>Please wait for the scanner to start the block</p></div>"	77	10880.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	start_functional_block
11378	500.0	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	197	622737	0.0-13.0-0.0	beast_fmri_test	337	n/a	n/a	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
10585.098050459404	2750.0	n/a	1690	71	2750	795.901949541	stim	stop-signal	198	625490	0.0-13.0-1.0	beast_fmri_test	337	622912,/,623592,/,624272,/,624952,/,625641,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/D.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redD.png'></img>	go	-1.0	2.0	0.0	go	temp-non-target	D	89,Middle Finger	71,Index Finger	600.0	700.0	2150.0	2050.0	0.0	n/a	n/a	n/a	go_stim
13335.098050459404	795.901949541	n/a	1690	71	2750	795.901949541	stim	stop-signal	198	625490	0.0-13.0-1.0	beast_fmri_test	337	622912,/,623592,/,624272,/,624952,/,625641,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/D.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redD.png'></img>	go	-1.0	2.0	0.0	go	temp-non-target	D	89,Middle Finger	71,Index Finger	600.0	700.0	2150.0	2050.0	0.0	n/a	n/a	n/a	ITI
15452	500.0	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	199	626811	0.0-13.1-0.1	beast_fmri_test	337	626310,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
12611.210887285415	2750.0	n/a	689	71	2750	2842.78911271	stim	stop-signal	200	629563	0.0-13.1-1.1	beast_fmri_test	337	626990,/,627670,/,628350,/,629030,/,629710,/,630389,/,631069,/,631748,/	t,t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	go	-1.0	2.0	1.0	go	temp-non-target	P	89,Middle Finger	71,Index Finger	600.0	700.0	2150.0	2050.0	0.0	n/a	n/a	n/a	go_stim
15361.210887285415	2842.78911271	n/a	689	71	2750	2842.78911271	stim	stop-signal	200	629563	0.0-13.1-1.1	beast_fmri_test	337	626990,/,627670,/,628350,/,629030,/,629710,/,630389,/,631069,/,631748,/	t,t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	go	-1.0	2.0	1.0	go	temp-non-target	P	89,Middle Finger	71,Index Finger	600.0	700.0	2150.0	2050.0	0.0	n/a	n/a	n/a	ITI
21572	500.0	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	201	632931	0.0-13.2-0.2	beast_fmri_test	337	632429,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
20536.729675279232	2750.0	n/a	1576	71	2750	1036.27032472	stim	stop-signal	202	635682	0.0-13.2-1.2	beast_fmri_test	337	633108,/,633788,/,634467,/,635145,/,635827,/,636506,/	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	go	2050.0	2.0	2.0	go	non-target	P	89,Middle Finger	71,Index Finger	600.0	700.0	2150.0	2050.0	1.0	n/a	700.0	1.0	go_stim
23286.729675279232	1036.27032472	n/a	1576	71	2750	1036.27032472	stim	stop-signal	202	635682	0.0-13.2-1.2	beast_fmri_test	337	633108,/,633788,/,634467,/,635145,/,635827,/,636506,/	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	go	2050.0	2.0	2.0	go	non-target	P	89,Middle Finger	71,Index Finger	600.0	700.0	2150.0	2050.0	1.0	n/a	700.0	1.0	ITI
