onset	duration	"”text"""	rt	key_press	block_duration	timing_post_trial	trial_id	trial_type	trial_index	time_elapsed	internal_node_id	exp_id	subject_id	trigger_times	triggers	stimulus	possible_responses	stim_duration	exp_stage	SS_stimulus	SS_trial_type	SS_duration	load	trial_num	stop_trial_type	adaptive_trial_type	stim	yes_response_key	no_response_key	SSD_target	SSD_non_target	SSTarget	SSNonTarget	go_acc	stop_acc	SS_delay	adaptive_acc	new_trial_type
test	10880	n/a	-1	-1	10880	0.0	practice-no-stop-feedback	poldrack-single-stim	388	1141780	0.0-18.0	beast_fmri_test	337	1130905,/,1131582,/,1132262,/,1132942,/,1133621,/,1134301,/,1134981,/,1135660,/,1136340,/,1137020,/,1137699,/,1138380,/,1139058,/,1139738,/,1140422,/,1141098,/,1141778,/	t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t	"<div class = ""centerbox""><p class = ""block-text"">Your delay is 3 trials.</p><p class = block-text>Please wait for the scanner to start the block</p></div>"	77	10880.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	start_functional_block
11379	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	389	1142284	0.0-19.0-0.0	beast_fmri_test	337	n/a	n/a	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
8816.0650173369795	temp_go_duration	n/a	1185	71	2750	2563.93498266	stim	stop-signal	390	1145035	0.0-19.0-1.0	beast_fmri_test	337	1142458,/,1143137,/,1143817,/,1144497,/,1145175,/,1145856,/,1146536,/,1147216,/	t,t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	stop	-1.0	3.0	0.0	stop	temp-non-target	V	89,Middle Finger	71,Index Finger	400.0	800.0	2350.0	1950.0	0.0	0.0	n/a	n/a	go_stim
temp-non-target	temp_stop_duration	n/a	1185	71	2750	2563.93498266	stim	stop-signal	390	1145035	0.0-19.0-1.0	beast_fmri_test	337	1142458,/,1143137,/,1143817,/,1144497,/,1145175,/,1145856,/,1146536,/,1147216,/	t,t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	stop	-1.0	3.0	0.0	stop	temp-non-target	V	89,Middle Finger	71,Index Finger	400.0	800.0	2350.0	1950.0	0.0	0.0	n/a	n/a	stop_stim
11566.06501733698	2563.9349826629114	n/a	1185	71	2750	2563.93498266	stim	stop-signal	390	1145035	0.0-19.0-1.0	beast_fmri_test	337	1142458,/,1143137,/,1143817,/,1144497,/,1145175,/,1145856,/,1146536,/,1147216,/	t,t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	stop	-1.0	3.0	0.0	stop	temp-non-target	V	89,Middle Finger	71,Index Finger	400.0	800.0	2350.0	1950.0	0.0	0.0	n/a	n/a	ITI
17245	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	391	1148150	0.0-19.1-0.1	beast_fmri_test	337	1147896,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
15582.883642231114	2750	n/a	1055	71	2750	1663.11635777	stim	stop-signal	392	1150901	0.0-19.1-1.1	beast_fmri_test	337	1148576,/,1149254,/,1149934,/,1150614,/,1151294,/,1151973,/	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	go	-1.0	3.0	1.0	go	temp-non-target	B	89,Middle Finger	71,Index Finger	400.0	800.0	2350.0	1950.0	0.0	n/a	n/a	n/a	go_stim
18332.883642231114	1663.1163577688953	n/a	1055	71	2750	1663.11635777	stim	stop-signal	392	1150901	0.0-19.1-1.1	beast_fmri_test	337	1148576,/,1149254,/,1149934,/,1150614,/,1151294,/,1151973,/	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	go	-1.0	3.0	1.0	go	temp-non-target	B	89,Middle Finger	71,Index Finger	400.0	800.0	2350.0	1950.0	0.0	n/a	n/a	n/a	ITI
22205	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	393	1153110	0.0-19.2-0.2	beast_fmri_test	337	1152652,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
19952.863161988091	2750	n/a	1080	71	2750	2253.13683801	stim	stop-signal	394	1155861	0.0-19.2-1.2	beast_fmri_test	337	1153332,/,1154012,/,1154692,/,1155370,/,1156050,/,1156731,/,1157411,/,1158089,/	t,t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	go	-1.0	3.0	2.0	go	temp-non-target	P	89,Middle Finger	71,Index Finger	400.0	800.0	2350.0	1950.0	0.0	n/a	n/a	n/a	go_stim
