onset	duration	text	rt	key_press	block_duration	timing_post_trial	trial_id	trial_type	trial_index	time_elapsed	internal_node_id	exp_id	subject_id	trigger_times	triggers	stimulus	possible_responses	stim_duration	exp_stage	SS_stimulus	SS_trial_type	SS_duration	load	trial_num	stop_trial_type	adaptive_trial_type	stim	yes_response_key	no_response_key	SSD_target	SSD_non_target	SSTarget	SSNonTarget	go_acc	SS_delay	stop_acc	adaptive_acc	new_trial_type
test	10880.0	n/a	-1	-1	10880	0.0	practice-no-stop-feedback	poldrack-single-stim	6	109750	0.0-6.0	beast_fmri_test	388	98861,/,99540,/,100221,/,100902,/,101581,/,102262,/,102941,/,103622,/,104302,/,104983,/,105663,/,106343,/,107023,/,107703,/,108382,/,109063,/,109747,/	t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t	"<div class = ""centerbox2_2""><p class = ""block-text2"">Your delay is 2 trials.</p><p class = block-text2>Please wait for the scanner to start the block</p></div>"	77	10880.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	start_functional_block
11392	500.0	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	7	110253	0.0-7.0-0.0	beast_fmri_test	388	n/a	n/a	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
11091.07110860222	2750.0	n/a	2285	89	2750	307.928891398	stim	stop-signal	8	113010	0.0-7.0-1.0	beast_fmri_test	388	110427,/,111107,/,111787,/,112467,/,113145,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	go	-1.0	2.0	0.0	go	temp-non-target	V	71,Index Finger	89,Middle Finger	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	go_stim
13841.07110860222	307.928891398	n/a	2285	89	2750	307.928891398	stim	stop-signal	8	113010	0.0-7.0-1.0	beast_fmri_test	388	110427,/,111107,/,111787,/,112467,/,113145,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	go	-1.0	2.0	0.0	go	temp-non-target	V	71,Index Finger	89,Middle Finger	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	ITI
14967	500.0	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	9	113828	0.0-7.1-0.1	beast_fmri_test	388	113827,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
13151.685632661422	2750.0	n/a	1702	89	2750	1820.31436734	stim	stop-signal	10	116583	0.0-7.1-1.1	beast_fmri_test	388	114506,/,115187,/,115867,/,116546,/,117225,/,117906,/	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	go	-1.0	2.0	1.0	go	temp-non-target	P	71,Index Finger	89,Middle Finger	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	go_stim
15901.685632661422	1820.31436734	n/a	1702	89	2750	1820.31436734	stim	stop-signal	10	116583	0.0-7.1-1.1	beast_fmri_test	388	114506,/,115187,/,115867,/,116546,/,117225,/,117906,/	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	go	-1.0	2.0	1.0	go	temp-non-target	P	71,Index Finger	89,Middle Finger	500.0	500.0	0.0	0.0	0.0	n/a	n/a	n/a	ITI
20050	500.0	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	11	118911	0.0-7.2-0.2	beast_fmri_test	388	118585,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
19345.231979956079	500.0	n/a	786	71	2750	712.768020044	stim	stop-signal	12	121669	0.0-7.2-1.2	beast_fmri_test	388	119269,/,119951,/,120631,/,121311,/,121990,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	stop	2250.0	2.0	2.0	stop	target	V	71,Index Finger	89,Middle Finger	500.0	500.0	2250.0	0.0	0.0	500.0	0.0	n/a	go_stim
21595.231979956079	2250.0	n/a	786	71	2750	712.768020044	stim	stop-signal	12	121669	0.0-7.2-1.2	beast_fmri_test	388	119269,/,119951,/,120631,/,121311,/,121990,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	stop	2250.0	2.0	2.0	stop	target	V	71,Index Finger	89,Middle Finger	500.0	500.0	2250.0	0.0	0.0	500.0	0.0	n/a	stop_stim
22095.231979956079	712.768020044	n/a	786	71	2750	712.768020044	stim	stop-signal	12	121669	0.0-7.2-1.2	beast_fmri_test	388	119269,/,119951,/,120631,/,121311,/,121990,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	stop	2250.0	2.0	2.0	stop	target	V	71,Index Finger	89,Middle Finger	500.0	500.0	2250.0	0.0	0.0	500.0	0.0	n/a	ITI
24027	500.0	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	13	122888	0.0-7.3-0.3	beast_fmri_test	388	122670,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
22928.61366698386	2750.0	n/a	1557	89	2750	1102.38633302	stim	stop-signal	14	125642	0.0-7.3-1.3	beast_fmri_test	388	123349,/,124031,/,124711,/,125391,/,126069,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	go	2250.0	2.0	3.0	go	non-target	V	71,Index Finger	89,Middle Finger	450.0	500.0	2250.0	2250.0	1.0	500.0	n/a	1.0	go_stim
25678.61366698386	1102.38633302	n/a	1557	89	2750	1102.38633302	stim	stop-signal	14	125642	0.0-7.3-1.3	beast_fmri_test	388	123349,/,124031,/,124711,/,125391,/,126069,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	go	2250.0	2.0	3.0	go	non-target	V	71,Index Finger	89,Middle Finger	450.0	500.0	2250.0	2250.0	1.0	500.0	n/a	1.0	ITI
28390	500.0	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	15	127251	0.0-7.4-0.4	beast_fmri_test	388	126751,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
27830.840619687573	450.0	n/a	-1	-1	2750	566.159380312	stim	stop-signal	16	130008	0.0-7.4-1.4	beast_fmri_test	388	127430,/,128110,/,128791,/,129474,/,130154,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	stop	2300.0	2.0	4.0	stop	target	V	71,Index Finger	89,Middle Finger	450.0	500.0	2300.0	2250.0	0.0	450.0	1.0	n/a	go_stim
30130.840619687573	2300.0	n/a	-1	-1	2750	566.159380312	stim	stop-signal	16	130008	0.0-7.4-1.4	beast_fmri_test	388	127430,/,128110,/,128791,/,129474,/,130154,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	stop	2300.0	2.0	4.0	stop	target	V	71,Index Finger	89,Middle Finger	450.0	500.0	2300.0	2250.0	0.0	450.0	1.0	n/a	stop_stim
