onset	duration	"“text"""	rt	key_press	block_duration	timing_post_trial	trial_id	trial_type	trial_index	time_elapsed	internal_node_id	exp_id	subject_id	trigger_times	triggers	stimulus	possible_responses	stim_duration	exp_stage	SS_stimulus	SS_trial_type	SS_duration	load	trial_num	stop_trial_type	adaptive_trial_type	stim	yes_response_key	no_response_key	SSD_target	SSD_non_target	SSTarget	SSNonTarget	go_acc	SS_delay	adaptive_acc	stop_acc	new_trial_type
test	10880	n/a	-1	-1	10880	0.0	practice-no-stop-feedback	poldrack-single-stim	574	1567623	0.0-24.0	beast_fmri_test	276	1556746,/,1557424,/,1558104,/,1558782,/,1559461,/,1560140,/,1560820,/,1561500,/,1562180,/,1562861,/,1563540,/,1564220,/,1564899,/,1565581,/,1566260,/,1566940,/,1567620,/	t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t	"<div class = ""centerbox""><p class = ""block-text"">Your delay is 2 trials.</p><p class = block-text>Please wait for the scanner to start the block</p></div>"	77	10880.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	start_functional_block
11381	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	575	1568127	0.0-25.0-0.0	beast_fmri_test	276	n/a	n/a	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
11304.446467767935	2750	n/a	751	89	2750	80.553532232	stim	stop-signal	576	1570881	0.0-25.0-1.0	beast_fmri_test	276	1568300,/,1568980,/,1569660,/,1570340,/	t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	go	-1.0	2.0	0.0	go	temp-non-target	P	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	0.0	n/a	n/a	n/a	go_stim
14054.446467767935	80.55353223202286	n/a	751	89	2750	80.553532232	stim	stop-signal	576	1570881	0.0-25.0-1.0	beast_fmri_test	276	1568300,/,1568980,/,1569660,/,1570340,/	t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	go	-1.0	2.0	0.0	go	temp-non-target	P	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	0.0	n/a	n/a	n/a	ITI
14777	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	577	1571523	0.0-25.1-0.1	beast_fmri_test	276	1571021,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
14304.328529582825	2750	n/a	697	89	2750	470.671470417	stim	stop-signal	578	1574271	0.0-25.1-1.1	beast_fmri_test	276	1571700,/,1572380,/,1573060,/,1573737,/,1574414,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	go	-1.0	2.0	1.0	go	temp-non-target	V	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	0.0	n/a	n/a	n/a	go_stim
17054.328529582825	470.67147041709887	n/a	697	89	2750	470.671470417	stim	stop-signal	578	1574271	0.0-25.1-1.1	beast_fmri_test	276	1571700,/,1572380,/,1573060,/,1573737,/,1574414,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	go	-1.0	2.0	1.0	go	temp-non-target	V	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	0.0	n/a	n/a	n/a	ITI
18557	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	579	1575303	0.0-25.2-0.2	beast_fmri_test	276	1575095,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
18235.077147456817	2750	n/a	612	89	2750	324.922852543	stim	stop-signal	580	1578056	0.0-25.2-1.2	beast_fmri_test	276	1575776,/,1576455,/,1577137,/,1577817,/	t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	go	2750.0	2.0	2.0	go	non-target	B	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	1.0	0.0	1.0	n/a	go_stim
20985.077147456817	324.9228525432041	n/a	612	89	2750	324.922852543	stim	stop-signal	580	1578056	0.0-25.2-1.2	beast_fmri_test	276	1575776,/,1576455,/,1577137,/,1577817,/	t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	go	2750.0	2.0	2.0	go	non-target	B	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	1.0	0.0	1.0	n/a	ITI
22188	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	581	1578934	0.0-25.3-0.3	beast_fmri_test	276	1578497,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
20376.737664456014	2750	n/a	501	71	2750	1815.26233554	stim	stop-signal	582	1581688	0.0-25.3-1.3	beast_fmri_test	276	1579177,/,1579856,/,1580535,/,1581217,/,1581896,/,1582577,/,1583257,/	t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	go	2750.0	2.0	3.0	go	target	V	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	1.0	0.0	1.0	n/a	go_stim
23126.737664456014	1815.2623355440021	n/a	501	71	2750	1815.26233554	stim	stop-signal	582	1581688	0.0-25.3-1.3	beast_fmri_test	276	1579177,/,1579856,/,1580535,/,1581217,/,1581896,/,1582577,/,1583257,/	t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	go	2750.0	2.0	3.0	go	target	V	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	1.0	0.0	1.0	n/a	ITI
27316	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	583	1584062	0.0-25.4-0.4	beast_fmri_test	276	1583938,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
27066.739099182421	0.0	n/a	763	89	2750	251.260900818	stim	stop-signal	584	1586814	0.0-25.4-1.4	beast_fmri_test	276	1584616,/,1585295,/,1585975,/,1586655,/	t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	stop	2750.0	2.0	4.0	stop	non-target	P	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	0.0	0.0	n/a	0.0	go_stim
29816.739099182421	2750.0	n/a	763	89	2750	251.260900818	stim	stop-signal	584	1586814	0.0-25.4-1.4	beast_fmri_test	276	1584616,/,1585295,/,1585975,/,1586655,/	t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	stop	2750.0	2.0	4.0	stop	non-target	P	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	0.0	0.0	n/a	0.0	stop_stim
29816.739099182421	251.26090081765855	n/a	763	89	2750	251.260900818	stim	stop-signal	584	1586814	0.0-25.4-1.4	beast_fmri_test	276	1584616,/,1585295,/,1585975,/,1586655,/	t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	stop	2750.0	2.0	4.0	stop	non-target	P	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	0.0	0.0	n/a	0.0	ITI
30880	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	585	1587626	0.0-25.5-0.5	beast_fmri_test	276	1587337,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
28275.60646728822	2750	n/a	775	71	2750	2606.39353271	stim	stop-signal	586	1590378	0.0-25.5-1.5	beast_fmri_test	276	1588017,/,1588696,/,1589376,/,1590056,/,1590736,/,1591415,/,1592095,/,1592777,/	t,t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	go	2750.0	2.0	5.0	go	target	V	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	1.0	0.0	1.0	n/a	go_stim
31025.60646728822	2606.3935327117952	n/a	775	71	2750	2606.39353271	stim	stop-signal	586	1590378	0.0-25.5-1.5	beast_fmri_test	276	1588017,/,1588696,/,1589376,/,1590056,/,1590736,/,1591415,/,1592095,/,1592777,/	t,t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	go	2750.0	2.0	5.0	go	target	V	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	1.0	0.0	1.0	n/a	ITI
36795	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	587	1593541	0.0-25.6-0.6	beast_fmri_test	276	1593454,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
36401.678589612944	2750	n/a	550	89	2750	393.321410387	stim	stop-signal	588	1596291	0.0-25.6-1.6	beast_fmri_test	276	1594131,/,1594811,/,1595491,/,1596172,/	t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	go	2750.0	2.0	6.0	go	target	P	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	0.0	0.0	0.0	n/a	go_stim
39151.678589612944	393.32141038716173	n/a	550	89	2750	393.321410387	stim	stop-signal	588	1596291	0.0-25.6-1.6	beast_fmri_test	276	1594131,/,1594811,/,1595491,/,1596172,/	t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/P.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redP.png'></img>	go	2750.0	2.0	6.0	go	target	P	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	0.0	0.0	0.0	n/a	ITI
40499	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	589	1597245	0.0-25.7-0.7	beast_fmri_test	276	1596851,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
39017.401008449262	0.0	n/a	590	89	2750	1484.59899155	stim	stop-signal	590	1599998	0.0-25.7-1.7	beast_fmri_test	276	1597532,/,1598212,/,1598891,/,1599571,/,1600251,/,1600932,/	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/D.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redD.png'></img>	stop	2750.0	2.0	7.0	stop	non-target	D	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	0.0	0.0	n/a	0.0	go_stim
41767.401008449262	2750.0	n/a	590	89	2750	1484.59899155	stim	stop-signal	590	1599998	0.0-25.7-1.7	beast_fmri_test	276	1597532,/,1598212,/,1598891,/,1599571,/,1600251,/,1600932,/	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/D.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redD.png'></img>	stop	2750.0	2.0	7.0	stop	non-target	D	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	0.0	0.0	n/a	0.0	stop_stim
41767.401008449262	1484.5989915506243	n/a	590	89	2750	1484.59899155	stim	stop-signal	590	1599998	0.0-25.7-1.7	beast_fmri_test	276	1597532,/,1598212,/,1598891,/,1599571,/,1600251,/,1600932,/	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/D.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redD.png'></img>	stop	2750.0	2.0	7.0	stop	non-target	D	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	0.0	0.0	n/a	0.0	ITI
45295	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	591	1602041	0.0-25.8-0.8	beast_fmri_test	276	1601611,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
44580.742567546433	2750	n/a	848	89	2750	711.257432454	stim	stop-signal	592	1604788	0.0-25.8-1.8	beast_fmri_test	276	1602292,/,1602971,/,1603648,/,1604326,/,1605008,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/D.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redD.png'></img>	go	2750.0	2.0	8.0	go	non-target	D	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	1.0	0.0	1.0	n/a	go_stim
47330.742567546433	711.25743245351475	n/a	848	89	2750	711.257432454	stim	stop-signal	592	1604788	0.0-25.8-1.8	beast_fmri_test	276	1602292,/,1602971,/,1603648,/,1604326,/,1605008,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/D.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redD.png'></img>	go	2750.0	2.0	8.0	go	non-target	D	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	1.0	0.0	1.0	n/a	ITI
49312	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	593	1606058	0.0-25.9-0.9	beast_fmri_test	276	1605688,/	t	<div class = centerbox2><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
47371.869102826808	0.0	n/a	1213	71	2750	1943.13089717	stim	stop-signal	594	1608811	0.0-25.9-1.9	beast_fmri_test	276	1606368,/,1607047,/,1607727,/,1608406,/,1609086,/,1609764,/,1610442,/	t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/D.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redD.png'></img>	stop	2750.0	2.0	9.0	stop	target	D	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	0.0	0.0	n/a	0.0	go_stim
50121.869102826808	2750.0	n/a	1213	71	2750	1943.13089717	stim	stop-signal	594	1608811	0.0-25.9-1.9	beast_fmri_test	276	1606368,/,1607047,/,1607727,/,1608406,/,1609086,/,1609764,/,1610442,/	t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/D.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redD.png'></img>	stop	2750.0	2.0	9.0	stop	target	D	71,Index Finger	89,Middle Finger	0.0	0.0	2750.0	2750.0	0.0	0.0	n/a	0.0	stop_stim
