onset	duration	text	rt	key_press	block_duration	timing_post_trial	trial_id	trial_type	trial_index	time_elapsed	internal_node_id	exp_id	subject_id	trigger_times	triggers	stimulus	possible_responses	stim_duration	exp_stage	SS_stimulus	SS_trial_type	SS_duration	load	trial_num	stop_trial_type	adaptive_trial_type	stim	yes_response_key	no_response_key	SSD_target	SSD_non_target	SSTarget	SSNonTarget	go_acc	stop_acc	SS_delay	adaptive_acc	new_trial_type
test	10880	n/a	-1	-1	10880	0.0	practice-no-stop-feedback	poldrack-single-stim	390	1101534	0.0-18.0	beast_fmri_test	313	1090654,/,1091333,/,1092013,/,1092693,/,1093372,/,1094052,/,1094732,/,1095412,/,1096093,/,1096773,/,1097452,/,1098132,/,1098812,/,1099493,/,1100173,/,1100853,/,1101533,/	t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t	"<div class = ""centerbox""><p class = ""center-block-text"">Your delay is 3 trials.</p><p class = center-block-text>Please wait for the scanner to start the block</p></div>"	77	10880.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	start_functional_block
11382	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	391	1102036	0.0-19.0-0.0	beast_fmri_test	313	n/a	n/a	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
11050.319833999965	temp_go_duration	n/a	2570	71	2750	333.680166	stim	stop-signal	392	1104788	0.0-19.0-1.0	beast_fmri_test	313	1102213,/,1102893,/,1103573,/,1104253,/,1104933,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	stop	-1.0	3.0	0.0	stop	temp-non-target	V	89,Yellow Button	71,Green Button	1000.0	1100.0	1800.0	1650.0	0.0	0.0	n/a	n/a	go_stim
temp-non-target	temp_stop_duration	n/a	2570	71	2750	333.680166	stim	stop-signal	392	1104788	0.0-19.0-1.0	beast_fmri_test	313	1102213,/,1102893,/,1103573,/,1104253,/,1104933,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	stop	-1.0	3.0	0.0	stop	temp-non-target	V	89,Yellow Button	71,Green Button	1000.0	1100.0	1800.0	1650.0	0.0	0.0	n/a	n/a	stop_stim
13800.319833999965	333.68016600000004	n/a	2570	71	2750	333.680166	stim	stop-signal	392	1104788	0.0-19.0-1.0	beast_fmri_test	313	1102213,/,1102893,/,1103573,/,1104253,/,1104933,/	t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	stop	-1.0	3.0	0.0	stop	temp-non-target	V	89,Yellow Button	71,Green Button	1000.0	1100.0	1800.0	1650.0	0.0	0.0	n/a	n/a	ITI
14988	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	393	1105642	0.0-19.1-0.1	beast_fmri_test	313	1105613,/	t	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
13552.795310999965	temp_go_duration	n/a	1370	71	2750	1436.204689	stim	stop-signal	394	1108393	0.0-19.1-1.1	beast_fmri_test	313	1106293,/,1106974,/,1107653,/,1108333,/,1109012,/,1109693,/	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	stop	-1.0	3.0	1.0	stop	temp-non-target	V	89,Yellow Button	71,Green Button	1000.0	1100.0	1800.0	1650.0	0.0	0.0	n/a	n/a	go_stim
temp-non-target	temp_stop_duration	n/a	1370	71	2750	1436.204689	stim	stop-signal	394	1108393	0.0-19.1-1.1	beast_fmri_test	313	1106293,/,1106974,/,1107653,/,1108333,/,1109012,/,1109693,/	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	stop	-1.0	3.0	1.0	stop	temp-non-target	V	89,Yellow Button	71,Green Button	1000.0	1100.0	1800.0	1650.0	0.0	0.0	n/a	n/a	stop_stim
16302.795310999965	1436.2046890000001	n/a	1370	71	2750	1436.204689	stim	stop-signal	394	1108393	0.0-19.1-1.1	beast_fmri_test	313	1106293,/,1106974,/,1107653,/,1108333,/,1109012,/,1109693,/	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/V.png'></img>	89,71	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redV.png'></img>	stop	-1.0	3.0	1.0	stop	temp-non-target	V	89,Yellow Button	71,Green Button	1000.0	1100.0	1800.0	1650.0	0.0	0.0	n/a	n/a	ITI
19694	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	395	1110348	0.0-19.2-0.2	beast_fmri_test	313	n/a	n/a	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
