onset	duration	text	rt	key_press	block_duration	timing_post_trial	trial_id	trial_type	trial_index	time_elapsed	internal_node_id	exp_id	subject_id	trigger_times	triggers	stimulus	possible_responses	stim_duration	exp_stage	SS_stimulus	SS_trial_type	SS_duration	load	trial_num	stop_trial_type	adaptive_trial_type	stim	yes_response_key	no_response_key	SSD_target	SSD_non_target	SSTarget	SSNonTarget	go_acc	SS_delay	adaptive_acc	stop_acc	new_trial_type
test	10880	n/a	-1	-1	10880	0.0	practice-no-stop-feedback	poldrack-single-stim	576	1626321	0.0-22.0	beast_fmri_test	306	26.924083333333332,26.935383333333334,26.946716666666667,26.95805,26.969383333333333,26.9807,26.992066666666666,27.0034,27.014716666666665,27.02605,27.0374,27.0487,27.06,27.071316666666668,27.08265,27.093983333333334,27.105316666666667	t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t	"<div class = ""centerbox""><p class = ""center-block-text"">Your delay is 2 trials.</p><p class = center-block-text>Please wait for the scanner to start the block</p></div>"	77	10880.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	start_functional_block
11378.0	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	577	1626823	0.0-23.0-0.0	beast_fmri_test	306	n/a	n/a	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
10213.323498589685	temp_go_duration	n/a	399	89	2750	1167.67650141	stim	stop-signal	578	1629576	0.0-23.0-1.0	beast_fmri_test	306	27.116633333333333,27.12795,27.1393,27.15063333333333,27.16195,27.17331666666667	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	stop	-1.0	2.0	0.0	stop	temp-non-target	T	71,Green Button	89,Yellow Button	400.0	400.0	2400.0	2350.0	0.0	n/a	n/a	0.0	go_stim
temp-non-target	temp_stop_duration	n/a	399	89	2750	1167.67650141	stim	stop-signal	578	1629576	0.0-23.0-1.0	beast_fmri_test	306	27.116633333333333,27.12795,27.1393,27.15063333333333,27.16195,27.17331666666667	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	stop	-1.0	2.0	0.0	stop	temp-non-target	T	71,Green Button	89,Yellow Button	400.0	400.0	2400.0	2350.0	0.0	n/a	n/a	0.0	stop_stim
12963.323498589685	1167.6765014102964	n/a	399	89	2750	1167.67650141	stim	stop-signal	578	1629576	0.0-23.0-1.0	beast_fmri_test	306	27.116633333333333,27.12795,27.1393,27.15063333333333,27.16195,27.17331666666667	t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/T.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redT.png'></img>	stop	-1.0	2.0	0.0	stop	temp-non-target	T	71,Green Button	89,Yellow Button	400.0	400.0	2400.0	2350.0	0.0	n/a	n/a	0.0	ITI
15857.0	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	579	1631302	0.0-23.1-0.1	beast_fmri_test	306	27.18465	t	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
13813.521576477215	2750	n/a	292	89	2750	2041.47842352	stim	stop-signal	580	1634050	0.0-23.1-1.1	beast_fmri_test	306	27.195983333333334,27.2073,27.218616666666666,27.229883333333333,27.241233333333334,27.252566666666667,27.2639	t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	go	-1.0	2.0	1.0	go	temp-non-target	B	71,Green Button	89,Yellow Button	400.0	400.0	2400.0	2350.0	0.0	n/a	n/a	n/a	go_stim
16563.521576477215	2041.4784235228369	n/a	292	89	2750	2041.47842352	stim	stop-signal	580	1634050	0.0-23.1-1.1	beast_fmri_test	306	27.195983333333334,27.2073,27.218616666666666,27.229883333333333,27.241233333333334,27.252566666666667,27.2639	t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	go	-1.0	2.0	1.0	go	temp-non-target	B	71,Green Button	89,Yellow Button	400.0	400.0	2400.0	2350.0	0.0	n/a	n/a	n/a	ITI
21205.0	500	n/a	-1	-1	500	0.0	fixation	poldrack-single-stim	581	1636650	0.0-23.2-0.2	beast_fmri_test	306	27.275233333333333	t	<div class = centerbox><div class = fixation>+</div></div>	none	500.0	test	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	fixation
18723.353394745616	2750	n/a	473	89	2750	2484.64660525	stim	stop-signal	582	1639403	0.0-23.2-1.2	beast_fmri_test	306	27.286566666666666,27.2979,27.309216666666668,27.320566666666668,27.3319,27.343233333333334,27.354566666666667	t,t,t,t,t,t,t	<img class = center src='/static/experiments/beast_fmri_test/images/B.png'></img>	71,89	2750.0	test	<img class = center src='/static/experiments/beast_fmri_test/images/redB.png'></img>	go	2350.0	2.0	2.0	go	non-target	B	71,Green Button	89,Yellow Button	400.0	400.0	2400.0	2350.0	1.0	400.0	1.0	n/a	go_stim
